SubscriberCode,Gender,ElderlySubscriber,HasPartner,HasDependents,SubscriptionLengthMonths,HasPhoneService,HasMultipleLines,InternetServiceType,OnlineSecurityEnabled,OnlineBackupEnabled,DeviceProtectionEnabled,TechSupportEnabled,StreamingTVService,StreamingMoviesService,SubscriptionPlan,UsesPaperlessBilling,PaymentMethodUsed,MonthlyPaymentUGX,TotalPaymentUGX,DroppedService,District,MobileMoneySubscription,RuralSubscriber
9269-CQOOL,Male,0,No,Yes,3,Yes,No,DSL,No,No,No,No,Yes,No,Pay As You Go,Yes,Card Payment,196920.0,610020.0,Yes,Wakiso,Yes,No
2017-CCBLH,Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,72000.0,509760.0,No,Mbarara,Yes,Yes
7690-KPNCU,Male,0,Yes,Yes,64,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,6 Months Contract,Yes,Card Payment,262980.0,16879140.0,No,Fort Portal,Yes,Yes
0536-BGFMZ,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,73800.0,2026980.0,No,Mukono,No,No
2293-IJWPS,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6 Months Contract,Yes,Card Payment,362700.0,21546000.0,No,Arua,Yes,Yes
2845-HSJCY,Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Pay As You Go,Yes,Mobile Money,314100.0,4530960.0,Yes,Arua,Yes,Yes
5469-NUJUR,Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Cash Payment at Agent,71820.0,1344600.0,No,Fort Portal,Yes,Yes
1184-PJVDB,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,Pay As You Go,Yes,Mobile Money,287820.0,3085920.0,Yes,Kampala,Yes,No
2625-TRCZQ,Female,0,Yes,No,51,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,178740.0,9192060.0,Yes,Arua,Yes,Yes
4102-HLENU,Female,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,12 Months Contract,No,Cash Payment at Agent,236340.0,15562260.0,No,Jinja,Yes,Yes
7266-GSSJX,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,Yes,Mobile Money,73620.0,902880.0,No,Wakiso,No,No
7722-VJRQD,Male,0,Yes,Yes,72,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,12 Months Contract,No,Bank Standing Order,219420.0,16376580.0,No,Wakiso,Yes,No
7073-QETQY,Male,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,Yes,Mobile Money,73260.0,4894200.0,No,Mbarara,Yes,Yes
9415-DPEWS,Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Pay As You Go,Yes,Mobile Money,318060.0,5901480.0,Yes,Kampala,No,No
5624-RYAMH,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,Yes,Mobile Money,70200.0,643860.0,No,Wakiso,Yes,No
0196-JTUQI,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Card Payment,270720.0,2281860.0,No,Mukono,Yes,No
7130-YXBRO,Male,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Pay As You Go,Yes,Bank Standing Order,401220.0,19134360.0,No,Jinja,Yes,Yes
9272-LSVYH,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,No,Cash Payment at Agent,252540.0,2647800.0,No,Kampala,Yes,No
7943-RQCHR,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,341100.0,3203640.0,Yes,Gulu,Yes,Yes
3793-MMFUH,Female,1,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,342180.0,4644000.0,Yes,Mbarara,Yes,Yes
3249-ZPQRG,Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Pay As You Go,No,Mobile Money,282420.0,1188180.0,Yes,Arua,Yes,Yes
2568-BRGYX,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,252720.0,856620.0,Yes,Jinja,No,Yes
3084-DOWLE,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,No,Bank Standing Order,331200.0,23307840.0,Yes,Arua,No,Yes
1084-MNSMJ,Female,0,Yes,Yes,51,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,No,Card Payment,307800.0,15919020.0,No,Fort Portal,No,Yes
7721-JXEAW,Male,0,Yes,No,59,No,No phone service,DSL,No,Yes,No,No,No,Yes,Pay As You Go,Yes,Bank Standing Order,147780.0,8829720.0,Yes,Fort Portal,Yes,Yes
7249-WBIYX,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Pay As You Go,Yes,Mobile Money,308160.0,2929860.0,Yes,Jinja,Yes,Yes
4238-HFHSN,Male,1,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Pay As You Go,Yes,Mobile Money,295740.0,17657460.0,No,Kampala,Yes,No
6250-CGGUN,Male,0,No,No,54,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,6 Months Contract,No,Mobile Money,303840.0,16142580.0,No,Fort Portal,Yes,Yes
5478-JJVZK,Female,0,No,No,33,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Pay As You Go,Yes,Cash Payment at Agent,219240.0,7321860.0,Yes,Gulu,Yes,Yes
7596-IIWYC,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Bank Standing Order,72900.0,1937520.0,No,Fort Portal,Yes,Yes
6567-HOOPW,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Pay As You Go,Yes,Mobile Money,285120.0,285120.0,Yes,Kampala,Yes,No
9793-WECQC,Male,0,No,No,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Pay As You Go,No,Cash Payment at Agent,343080.0,7894440.0,No,Kampala,Yes,No
4291-HPAXL,Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,71460.0,71460.0,No,Fort Portal,Yes,Yes
8999-YPYBV,Male,0,Yes,Yes,45,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Cash Payment at Agent,303660.0,13888980.0,No,Mbarara,Yes,Yes
1839-FBNFR,Female,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Bank Standing Order,71460.0,3077280.0,Yes,Jinja,No,Yes
3164-AALRN,Male,0,No,No,5,Yes,No,DSL,No,No,Yes,No,Yes,Yes,6 Months Contract,Yes,Cash Payment at Agent,252000.0,1250640.0,Yes,Kampala,Yes,No
3071-MVJCD,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,12 Months Contract,No,Bank Standing Order,296280.0,20934540.0,Yes,Gulu,Yes,Yes
1697-BCSHV,Female,0,Yes,Yes,58,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Pay As You Go,Yes,Bank Standing Order,240480.0,14293440.0,No,Kampala,No,No
0562-KBDVM,Female,0,No,No,70,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,12 Months Contract,Yes,Bank Standing Order,160560.0,11009340.0,Yes,Jinja,Yes,Yes
1131-SUEKT,Male,0,Yes,Yes,61,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,6 Months Contract,Yes,Bank Standing Order,354420.0,22122720.0,No,Mbarara,Yes,Yes
3717-OEAUQ,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,No,Cash Payment at Agent,254520.0,465120.0,No,Mbarara,Yes,Yes
4538-WNTMJ,Female,0,Yes,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Cash Payment at Agent,89820.0,4197240.0,No,Mukono,No,No
3334-CTHOL,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Pay As You Go,Yes,Bank Standing Order,179820.0,179820.0,Yes,Jinja,Yes,Yes
4704-ERYFC,Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,249300.0,5594400.0,Yes,Wakiso,Yes,No
9432-RUVSL,Female,0,No,No,48,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Card Payment,369000.0,17655300.0,No,Gulu,No,Yes
8060-HIWJJ,Male,0,No,No,64,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,12 Months Contract,No,Card Payment,311580.0,20277180.0,No,Kampala,Yes,No
7684-XSZIY,Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Bank Standing Order,87480.0,5915700.0,No,Jinja,No,Yes
9089-UOWJG,Female,0,Yes,Yes,12,Yes,No,DSL,No,No,Yes,No,Yes,No,Pay As You Go,Yes,Card Payment,210060.0,2665980.0,No,Kampala,Yes,No
8621-MNIHH,Female,1,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Pay As You Go,Yes,Mobile Money,339300.0,11583180.0,Yes,Jinja,Yes,Yes
8039-ACLPL,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,12 Months Contract,No,Card Payment,247500.0,17597520.0,No,Mbarara,Yes,Yes
9885-AIBVB,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Pay As You Go,Yes,Mobile Money,308880.0,8784900.0,Yes,Gulu,No,Yes
1934-MKPXS,Male,0,Yes,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Card Payment,72360.0,2233980.0,No,Wakiso,Yes,No
2592-YKDIF,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,73260.0,73260.0,No,Wakiso,Yes,No
2272-JKMSI,Female,0,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,6 Months Contract,Yes,Mobile Money,398880.0,24627420.0,Yes,Arua,Yes,Yes
0471-LVHGK,Male,0,Yes,No,41,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,6 Months Contract,Yes,Mobile Money,262800.0,10804320.0,Yes,Mbarara,Yes,Yes
9518-RWHZL,Female,0,No,No,64,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6 Months Contract,Yes,Card Payment,360180.0,22515120.0,Yes,Jinja,Yes,Yes
8714-CTZJW,Female,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Pay As You Go,Yes,Card Payment,298260.0,1150560.0,Yes,Mbarara,No,Yes
3569-EDBPQ,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Pay As You Go,Yes,Mobile Money,303660.0,6976980.0,No,Mukono,Yes,No
3131-NWVFJ,Female,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Cash Payment at Agent,70380.0,1060200.0,No,Kampala,Yes,No
7521-YXVZY,Male,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,71820.0,209880.0,No,Fort Portal,Yes,Yes
5419-CONWX,Female,1,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Pay As You Go,Yes,Card Payment,359280.0,1594260.0,Yes,Fort Portal,Yes,Yes
6240-EURKS,Female,0,No,Yes,18,No,No phone service,DSL,No,No,No,No,No,Yes,Pay As You Go,Yes,Mobile Money,126000.0,1990800.0,Yes,Gulu,No,Yes
2373-NTKOD,Male,0,No,No,8,Yes,No,DSL,No,No,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,238500.0,1967220.0,No,Kampala,Yes,No
1970-KKFWL,Female,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Bank Standing Order,83880.0,2869560.0,No,Wakiso,No,No
6960-HVYXR,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Pay As You Go,No,Mobile Money,273600.0,273600.0,Yes,Kampala,Yes,No
9337-SRRNI,Male,0,No,Yes,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Card Payment,91080.0,6025680.0,Yes,Jinja,Yes,Yes
0895-UADGO,Male,0,No,Yes,8,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,12 Months Contract,Yes,Cash Payment at Agent,160380.0,1236420.0,No,Fort Portal,Yes,Yes
5678-VFNEQ,Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,6 Months Contract,Yes,Card Payment,374760.0,26684100.0,No,Wakiso,No,No
5977-CKHON,Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Pay As You Go,Yes,Bank Standing Order,333180.0,14540400.0,No,Wakiso,No,No
7024-OHCCK,Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,337860.0,615060.0,Yes,Jinja,Yes,Yes
2692-BUCFV,Male,1,No,No,29,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Pay As You Go,Yes,Bank Standing Order,365220.0,10614960.0,No,Kampala,No,No
7861-UVUFT,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Pay As You Go,Yes,Mobile Money,303480.0,4710240.0,Yes,Fort Portal,No,Yes
1830-GGFNM,Male,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,12 Months Contract,No,Card Payment,340380.0,21883500.0,No,Mbarara,Yes,Yes
5302-BDJNT,Male,0,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Pay As You Go,No,Mobile Money,343800.0,12305520.0,Yes,Jinja,Yes,Yes
5223-UZAVK,Male,0,No,No,64,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,6 Months Contract,Yes,Card Payment,361080.0,23773680.0,Yes,Arua,Yes,Yes
4859-ZSRDZ,Female,0,Yes,Yes,58,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Card Payment,199800.0,11400840.0,No,Mukono,No,No
5651-WYIPH,Female,1,No,No,18,Yes,No,DSL,No,Yes,No,No,No,No,Pay As You Go,Yes,Card Payment,179460.0,3116700.0,No,Kampala,Yes,No
9350-VLHMB,Male,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Pay As You Go,Yes,Bank Standing Order,322380.0,22943160.0,No,Jinja,Yes,Yes
3498-LZGQZ,Male,0,Yes,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Cash Payment at Agent,68940.0,4237380.0,No,Fort Portal,No,Yes
8785-CJSHH,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,359280.0,21548700.0,No,Jinja,Yes,Yes
5357-TZHPP,Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Pay As You Go,Yes,Card Payment,303840.0,2637000.0,Yes,Mbarara,Yes,Yes
3870-SPZSI,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Card Payment,406980.0,28328580.0,No,Wakiso,No,No
0680-DFNNY,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,363960.0,5414580.0,Yes,Wakiso,Yes,No
7560-QRBXH,Female,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Cash Payment at Agent,71820.0,3372120.0,No,Gulu,Yes,Yes
7077-XJMET,Male,0,Yes,No,12,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Pay As You Go,Yes,Mobile Money,266940.0,2669040.0,No,Mbarara,No,Yes
8752-GHJFU,Male,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,6 Months Contract,Yes,Mobile Money,331200.0,23706720.0,No,Kampala,No,No
6896-SRVYQ,Male,1,No,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,No,Pay As You Go,No,Mobile Money,265860.0,11240640.0,No,Fort Portal,Yes,Yes
7767-UXAGJ,Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,181620.0,181620.0,Yes,Wakiso,Yes,No
4652-ODEVH,Male,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,88020.0,3917700.0,No,Fort Portal,Yes,Yes
6510-UPNKS,Female,0,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Card Payment,89280.0,2215260.0,No,Wakiso,No,No
6718-BDGHG,Female,0,Yes,No,43,Yes,Yes,DSL,No,No,No,Yes,Yes,No,6 Months Contract,Yes,Bank Standing Order,233460.0,10469520.0,Yes,Arua,Yes,Yes
9046-DQMTP,Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Bank Standing Order,74700.0,2663640.0,No,Fort Portal,Yes,Yes
6439-LAJXL,Male,0,Yes,No,9,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Pay As You Go,Yes,Cash Payment at Agent,248220.0,2137860.0,No,Jinja,No,Yes
1571-SAVHK,Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Pay As You Go,Yes,Cash Payment at Agent,359820.0,4077900.0,Yes,Gulu,No,Yes
9052-VKDUW,Female,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Pay As You Go,Yes,Card Payment,393840.0,26018820.0,No,Jinja,Yes,Yes
9546-CQJSU,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Pay As You Go,Yes,Mobile Money,329040.0,696960.0,Yes,Kampala,No,No
1666-JZPZT,Male,0,No,No,27,Yes,Yes,DSL,No,No,No,No,No,No,Pay As You Go,No,Cash Payment at Agent,176400.0,4648860.0,No,Fort Portal,Yes,Yes
5777-KJIRB,Female,0,No,No,40,Yes,No,DSL,No,No,Yes,No,No,No,6 Months Contract,Yes,Cash Payment at Agent,180900.0,7284780.0,No,Gulu,Yes,Yes
0506-LVNGN,Female,1,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,Pay As You Go,Yes,Card Payment,271980.0,1258740.0,Yes,Arua,Yes,Yes
7677-SJJJK,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Card Payment,71640.0,554220.0,No,Jinja,No,Yes
2480-EJWYP,Female,1,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6 Months Contract,Yes,Bank Standing Order,352080.0,19651680.0,No,Mukono,Yes,No
3253-HKOKL,Female,0,Yes,Yes,52,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,6 Months Contract,No,Mobile Money,361080.0,18880020.0,No,Jinja,Yes,Yes
7055-HNEOJ,Male,0,Yes,No,3,Yes,No,DSL,No,No,Yes,Yes,No,No,Pay As You Go,Yes,Cash Payment at Agent,200880.0,556380.0,Yes,Mbarara,Yes,Yes
5514-YQENT,Male,0,No,Yes,41,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Mobile Money,400140.0,16225740.0,Yes,Arua,Yes,Yes
3211-AAPKX,Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Pay As You Go,Yes,Cash Payment at Agent,354780.0,7315020.0,No,Gulu,Yes,Yes
8445-DNBAE,Male,0,No,Yes,1,Yes,Yes,DSL,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,180180.0,180180.0,No,Gulu,Yes,Yes
2951-QOQTK,Male,0,No,Yes,4,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Pay As You Go,No,Card Payment,290880.0,1196820.0,Yes,Kampala,Yes,No
2958-NHPPS,Male,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Mobile Money,75060.0,1706040.0,Yes,Arua,Yes,Yes
6806-YDEUL,Female,1,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Bank Standing Order,70200.0,384480.0,No,Mukono,No,No
1735-XMJVH,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,Yes,Cash Payment at Agent,69660.0,549360.0,No,Kampala,Yes,No
6890-PFRQX,Male,0,No,No,18,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Pay As You Go,No,Cash Payment at Agent,250200.0,4317840.0,Yes,Jinja,Yes,Yes
0222-CNVPT,Male,1,No,No,52,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Pay As You Go,Yes,Card Payment,175680.0,9198180.0,Yes,Mbarara,No,Yes
5899-OUVKV,Male,0,No,No,31,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,340200.0,10725120.0,No,Mbarara,Yes,Yes
8681-ICONS,Male,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,Yes,Cash Payment at Agent,74340.0,2357460.0,No,Mukono,Yes,No
1621-YNCJH,Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,12 Months Contract,Yes,Card Payment,381780.0,13803840.0,No,Fort Portal,Yes,Yes
3473-XIIIT,Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,360000.0,5525100.0,Yes,Kampala,Yes,No
6362-QHAFM,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,6 Months Contract,Yes,Mobile Money,389880.0,16510140.0,No,Fort Portal,Yes,Yes
7893-IXHRQ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Mobile Money,73980.0,73980.0,Yes,Wakiso,No,No
3070-BDOQC,Female,0,No,No,60,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,12 Months Contract,Yes,Mobile Money,358740.0,21387780.0,No,Arua,Yes,Yes
2952-QAYZF,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Pay As You Go,Yes,Mobile Money,307080.0,1526940.0,Yes,Mukono,Yes,No
6234-PFPXL,Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Pay As You Go,No,Card Payment,345240.0,8045820.0,Yes,Arua,Yes,Yes
9824-QCJPK,Male,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Cash Payment at Agent,72000.0,2400300.0,No,Jinja,Yes,Yes
4763-PGDPO,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,No,Mobile Money,253440.0,1011600.0,Yes,Jinja,Yes,Yes
4283-IVYCI,Male,0,No,No,9,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Pay As You Go,No,Cash Payment at Agent,233820.0,1972080.0,No,Jinja,Yes,Yes
1866-OBPNR,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Pay As You Go,No,Card Payment,268560.0,268560.0,No,Jinja,No,Yes
8205-MQUGY,Male,0,Yes,Yes,12,Yes,No,DSL,Yes,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,177120.0,2056140.0,No,Gulu,Yes,Yes
8970-ANWXO,Female,0,No,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,6 Months Contract,Yes,Cash Payment at Agent,265500.0,6323760.0,No,Gulu,No,Yes
9480-BQJEI,Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,6 Months Contract,Yes,Bank Standing Order,332280.0,20633220.0,No,Wakiso,Yes,No
5394-SVGJV,Male,0,No,No,37,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Pay As You Go,No,Bank Standing Order,355680.0,12511980.0,Yes,Fort Portal,No,Yes
6979-TNDEU,Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,69120.0,564660.0,No,Jinja,Yes,Yes
9777-WJJPR,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Pay As You Go,No,Card Payment,319140.0,9659520.0,No,Arua,Yes,Yes
9283-LZQOH,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Card Payment,267840.0,3228300.0,Yes,Gulu,Yes,Yes
7079-QRCBC,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,355500.0,8666280.0,Yes,Jinja,Yes,Yes
9495-SKLKD,Male,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Pay As You Go,Yes,Bank Standing Order,345420.0,16043940.0,No,Mbarara,Yes,Yes
6048-UWKAL,Female,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,12 Months Contract,No,Card Payment,379440.0,25196220.0,No,Mbarara,Yes,Yes
5067-DGXLL,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,72900.0,132480.0,No,Arua,Yes,Yes
5469-CTCWN,Male,0,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,6 Months Contract,Yes,Mobile Money,381600.0,23571720.0,Yes,Mukono,No,No
9851-QXEEQ,Male,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,376920.0,15647040.0,Yes,Gulu,Yes,Yes
6281-FKEWS,Female,0,No,No,44,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,6 Months Contract,Yes,Mobile Money,176580.0,8154000.0,Yes,Arua,Yes,Yes
